Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Temperature_Difference,Mechanical_Stress,Type_Encoded,Type_H,Type_L,Type_M,Wear_Stress_Index,Failure_Probability,Risk_Category
L,297.7,309.1,1563,39.3,56,0,0,0,0,0,0,11.400000000000034,61425.9,1,False,True,False,2200.8,0.0003519192033415635,Low
L,297.7,309.1,1479,42.1,58,0,0,0,0,0,0,11.400000000000034,62265.9,1,False,True,False,2441.8,0.0003519192033415635,Low
L,297.7,309.1,1477,38.3,60,0,0,0,0,0,0,11.400000000000034,56569.1,1,False,True,False,2298.0,0.0003519192033415635,Low
L,297.6,309.1,1394,50.0,62,0,0,0,0,0,0,11.5,69700.0,1,False,True,False,3100.0,0.002337090782387247,Low
L,297.6,309.0,1487,45.4,64,0,0,0,0,0,0,11.399999999999975,67509.8,1,False,True,False,2905.6,0.002391288454090754,Low
M,297.6,309.0,1815,25.3,66,0,0,0,0,0,0,11.399999999999975,45919.5,2,False,False,True,1669.8,0.0013369218597897086,Low
M,297.6,308.8,1453,39.7,69,0,0,0,0,0,0,11.199999999999989,57684.100000000006,2,False,False,True,2739.3,0.0003519192033415635,Low
L,297.6,308.8,1539,40.2,72,0,0,0,0,0,0,11.199999999999989,61867.8,1,False,True,False,2894.4,0.0003519192033415635,Low
H,297.5,308.7,1416,39.2,74,0,0,0,0,0,0,11.199999999999989,55507.2,0,True,False,False,2900.8,0.00281864523443904,Low
M,297.6,308.8,1683,31.6,79,0,0,0,0,0,0,11.199999999999989,53182.8,2,False,False,True,2496.4,0.0008217443790169058,Low
L,297.7,308.8,1515,40.1,82,0,0,0,0,0,0,11.100000000000025,60751.5,1,False,True,False,3288.2000000000003,0.0003519192033415635,Low
M,297.7,308.9,1531,48.3,84,0,0,0,0,0,0,11.199999999999989,73947.3,2,False,False,True,4057.2,0.0029807863094256076,Low
H,297.7,308.9,1479,40.9,87,0,0,0,0,0,0,11.199999999999989,60491.1,0,True,False,False,3558.3,0.0008126368952824305,Low
L,297.7,308.9,1516,33.7,92,0,0,0,0,0,0,11.199999999999989,51089.2,1,False,True,False,3100.4,0.0003519192033415635,Low
L,297.7,309.0,1507,38.2,94,0,0,0,0,0,0,11.300000000000011,57567.4,1,False,True,False,3590.8,0.0003519192033415635,Low
M,297.8,309.0,1434,43.3,96,0,0,0,0,0,0,11.199999999999989,62092.2,2,False,False,True,4156.799999999999,0.004161396302009426,Low
L,297.7,308.9,1838,27.3,99,0,0,0,0,0,0,11.199999999999989,50177.4,1,False,True,False,2702.7000000000003,0.0014474553347130444,Low
M,297.6,308.8,1416,45.9,101,0,0,0,0,0,0,11.199999999999989,64994.4,2,False,False,True,4635.9,0.0013338516634598524,Low
M,297.6,308.8,1357,49.7,104,0,0,0,0,0,0,11.199999999999989,67442.90000000001,2,False,False,True,5168.8,0.0,Low
M,297.5,308.7,1697,28.1,107,0,0,0,0,0,0,11.199999999999989,47685.7,2,False,False,True,3006.7000000000003,0.0018416695838862026,Low
L,297.5,308.7,1443,46.2,110,0,0,0,0,0,0,11.199999999999989,66666.6,1,False,True,False,5082.0,0.001145490105772014,Low
L,297.5,308.7,1453,37.6,112,0,0,0,0,0,0,11.199999999999989,54632.8,1,False,True,False,4211.2,0.0003519192033415635,Low
L,297.4,308.6,1439,46.4,114,0,0,0,0,0,0,11.200000000000044,66769.59999999999,1,False,True,False,5289.599999999999,0.00712560158872122,Low
L,297.4,308.6,1609,36.2,116,0,0,0,0,0,0,11.200000000000044,58245.8,1,False,True,False,4199.200000000001,0.0003519192033415635,Low
L,297.4,308.6,1324,59.1,118,0,0,0,0,0,0,11.200000000000044,78248.40000000001,1,False,True,False,6973.8,0.0,Low
H,297.4,308.6,1420,45.8,120,0,0,0,0,0,0,11.200000000000044,65035.99999999999,0,True,False,False,5496.0,0.012387994167663372,Low
L,297.4,308.7,1545,36.9,125,0,0,0,0,0,0,11.300000000000011,57010.5,1,False,True,False,4612.5,0.000991329512995176,Low
L,297.5,308.8,1477,39.0,127,0,0,0,0,0,0,11.300000000000011,57603.0,1,False,True,False,4953.0,0.000991329512995176,Low
L,297.4,308.8,1447,58.1,129,0,0,0,0,0,0,11.400000000000034,84070.7,1,False,True,False,7494.900000000001,0.005240669352879996,Low
L,297.4,308.9,1809,23.8,131,0,0,0,0,0,0,11.5,43054.2,1,False,True,False,3117.8,0.0020669041933249433,Low
L,297.5,308.9,1696,30.9,133,0,0,0,0,0,0,11.399999999999975,52406.4,1,False,True,False,4109.7,0.001230906995878915,Low
L,297.5,308.9,1427,44.7,135,0,0,0,0,0,0,11.399999999999975,63786.9,1,False,True,False,6034.5,0.0008746176674289091,Low
M,297.4,308.9,1500,46.3,137,0,0,0,0,0,0,11.5,69450.0,2,False,False,True,6343.099999999999,0.0003519192033415635,Low
L,297.5,308.9,1390,44.6,140,0,0,0,0,0,0,11.399999999999975,61994.0,1,False,True,False,6244.0,0.0008746176674289091,Low
L,297.4,308.8,1640,34.2,142,0,0,0,0,0,0,11.400000000000034,56088.00000000001,1,False,True,False,4856.400000000001,0.0027194071412203705,Low
M,297.4,308.8,1628,37.4,144,0,0,0,0,0,0,11.400000000000034,60887.2,2,False,False,True,5385.599999999999,0.001214311452871697,Low
H,297.3,308.6,1499,37.6,147,0,0,0,0,0,0,11.300000000000011,56362.4,0,True,False,False,5527.2,0.0017911995059642562,Low
M,297.4,308.7,1425,50.3,152,0,0,0,0,0,0,11.300000000000011,71677.5,2,False,False,True,7645.599999999999,0.0013142387986101855,Low
L,297.3,308.6,1586,37.7,155,0,0,0,0,0,0,11.300000000000011,59792.2,1,False,True,False,5843.5,0.0011074998741468687,Low
M,297.3,308.6,1471,50.7,157,0,0,0,0,0,0,11.300000000000011,74579.7,2,False,False,True,7959.900000000001,0.0010919183065783982,Low
M,297.3,308.6,1431,53.0,160,0,0,0,0,0,0,11.300000000000011,75843.0,2,False,False,True,8480.0,0.0009589912547740845,Low
L,297.2,308.6,1924,22.1,163,0,0,0,0,0,0,11.400000000000034,42520.4,1,False,True,False,3602.3,0.011575088744893719,Low
M,297.1,308.4,1421,42.0,165,0,0,0,0,0,0,11.299999999999956,59682.0,2,False,False,True,6930.0,0.0015752521563195203,Low
H,297.0,308.4,1305,54.6,168,0,0,0,0,0,0,11.399999999999975,71253.0,0,True,False,False,9172.8,0.029750169012353264,Low
L,296.9,308.4,1557,32.4,173,0,0,0,0,0,0,11.5,50446.8,1,False,True,False,5605.2,0.0013057305120346935,Low
L,296.9,308.3,1555,38.2,175,0,0,0,0,0,0,11.400000000000034,59401.00000000001,1,False,True,False,6685.000000000001,0.00022742021161325913,Low
H,296.9,308.3,1474,39.2,177,0,0,0,0,0,0,11.400000000000034,57780.8,0,True,False,False,6938.400000000001,0.001777891179081651,Low
L,296.8,308.3,1506,45.9,182,0,0,0,0,0,0,11.5,69125.4,1,False,True,False,8353.8,0.004293459282840939,Low
L,296.9,308.4,1390,41.8,184,0,0,0,0,0,0,11.5,58101.99999999999,1,False,True,False,7691.2,0.006578081339115012,Low
M,296.9,308.4,1450,46.9,186,0,0,0,0,0,0,11.5,68005.0,2,False,False,True,8723.4,0.0,Low
L,296.9,308.3,1513,38.8,189,0,0,0,0,0,0,11.400000000000034,58704.4,1,False,True,False,7333.2,0.005227420211613258,Low
L,296.8,308.2,1643,34.7,191,0,0,0,0,0,0,11.399999999999975,57012.100000000006,1,False,True,False,6627.700000000001,0.00022742021161325913,Low
L,296.8,308.2,1361,53.8,193,0,0,0,0,0,0,11.399999999999975,73221.8,1,False,True,False,10383.4,0.033272855721066454,Low
L,296.7,308.1,1450,40.9,195,0,0,0,0,0,0,11.400000000000034,59305.0,1,False,True,False,7975.5,0.005433378202865975,Low
L,296.7,308.0,1451,50.7,197,0,0,0,0,0,0,11.300000000000011,73565.7,1,False,True,False,9987.9,0.002176447398062627,Low
L,296.8,308.1,1289,62.0,199,1,0,0,0,1,0,11.300000000000011,79918.0,1,False,True,False,12338.0,0.9488093461711072,Critical
L,296.8,308.1,1356,48.3,201,0,0,0,0,0,0,11.300000000000011,65494.8,1,False,True,False,9708.3,0.03245135625502159,Low
H,296.7,308.1,1528,46.3,203,0,0,0,0,0,0,11.400000000000034,70746.4,0,True,False,False,9398.9,0.04308058837550997,Low
L,296.6,308.0,1978,22.3,208,0,0,0,0,0,0,11.399999999999975,44109.4,1,False,True,False,4638.400000000001,0.15184888247501716,Low
L,296.7,308.0,1535,36.8,210,0,0,0,0,0,0,11.300000000000011,56487.99999999999,1,False,True,False,7727.999999999999,0.28027368779836503,Medium
M,296.8,308.1,1843,24.2,212,0,0,0,0,0,0,11.300000000000011,44600.6,2,False,False,True,5130.4,0.1167046278169817,Low
L,296.9,308.1,1422,48.7,215,0,0,0,0,0,0,11.200000000000044,69251.40000000001,1,False,True,False,10470.5,0.07464357753017686,Low
L,296.8,308.0,1536,40.4,217,0,0,0,0,0,0,11.199999999999989,62054.4,1,False,True,False,8766.8,0.1383600143438441,Low
M,296.9,308.1,1483,44.3,219,0,0,0,0,0,0,11.200000000000044,65696.9,2,False,False,True,9701.7,0.04407956712165507,Low
H,296.8,308.1,1492,43.7,222,0,0,0,0,0,0,11.300000000000011,65200.4,0,True,False,False,9701.4,0.057826504241595744,Low
L,296.8,308.0,1584,40.4,227,0,0,0,0,0,0,11.199999999999989,63993.6,1,False,True,False,9170.8,0.09602999963650444,Low
L,296.9,308.1,1555,33.7,229,0,0,0,0,0,0,11.200000000000044,52403.50000000001,1,False,True,False,7717.300000000001,0.2087007651644598,Low
L,296.8,308.0,1497,41.7,231,0,0,0,0,0,0,11.199999999999989,62424.9,1,False,True,False,9632.7,0.0574226254785139,Low
M,296.7,307.8,1537,36.3,233,0,0,0,0,0,0,11.100000000000025,55793.1,2,False,False,True,8457.9,0.1415987919157657,Low
L,296.7,307.8,1505,39.4,236,0,0,0,0,0,0,11.100000000000025,59297.0,1,False,True,False,9298.4,0.13082181802294135,Low
L,296.7,307.8,1646,34.6,238,0,0,0,0,0,0,11.100000000000025,56951.600000000006,1,False,True,False,8234.800000000001,0.1962604625051773,Low
M,296.7,307.8,1286,60.5,0,0,0,0,0,0,0,11.100000000000025,77803.0,2,False,False,True,0.0,0.00964193052419161,Low
L,296.7,307.8,1400,47.5,3,0,0,0,0,0,0,11.100000000000025,66500.0,1,False,True,False,142.5,0.012017940857566784,Low
L,296.8,307.9,1337,56.5,5,0,0,0,0,0,0,11.099999999999966,75540.5,1,False,True,False,282.5,0.0,Low
L,296.9,308.0,1332,53.9,7,0,0,0,0,0,0,11.100000000000025,71794.8,1,False,True,False,377.3,0.0013237342023446797,Low
L,296.8,308.0,1561,38.3,9,0,0,0,0,0,0,11.199999999999989,59786.3,1,False,True,False,344.7,0.0011445212904666355,Low
L,296.9,308.0,1546,31.1,11,0,0,0,0,0,0,11.100000000000025,48080.600000000006,1,False,True,False,342.1,0.0037885470189201517,Low
L,296.9,308.0,1713,29.3,13,0,0,0,0,0,0,11.100000000000025,50190.9,1,False,True,False,380.9,0.002023509083003987,Low
L,296.9,308.0,1343,44.5,15,0,0,0,0,0,0,11.100000000000025,59763.5,1,False,True,False,667.5,0.0010910628495800934,Low
L,296.8,308.0,1391,54.4,17,0,0,0,0,0,0,11.199999999999989,75670.4,1,False,True,False,924.8,0.001439548930968766,Low
H,296.8,308.0,1311,58.6,19,0,0,0,0,0,0,11.199999999999989,76824.6,0,True,False,False,1113.4,0.0,Low
H,296.8,308.0,1453,51.0,24,0,0,0,0,0,0,11.199999999999989,74103.0,0,True,False,False,1224.0,0.00505496856476313,Low
L,296.8,308.0,1510,39.4,29,0,0,0,0,0,0,11.199999999999989,59494.0,1,False,True,False,1142.6,0.0011445212904666355,Low
L,296.8,307.9,1448,48.8,31,0,0,0,0,0,0,11.099999999999966,70662.4,1,False,True,False,1512.8,0.0079329354849803,Low
L,296.7,307.8,1453,46.0,33,0,0,0,0,0,0,11.100000000000025,66838.0,1,False,True,False,1518.0,0.011605257568843435,Low
L,296.7,307.8,1468,39.2,35,0,0,0,0,0,0,11.100000000000025,57545.600000000006,1,False,True,False,1372.0,0.0011445212904666355,Low
L,296.7,307.8,1382,47.5,37,0,0,0,0,0,0,11.100000000000025,65645.0,1,False,True,False,1757.5,0.01556382043091319,Low
L,296.7,308.0,1580,32.2,39,0,0,0,0,0,0,11.300000000000011,50876.00000000001,1,False,True,False,1255.8000000000002,0.001614346466141978,Low
L,296.8,308.0,1666,29.8,41,0,0,0,0,0,0,11.199999999999989,49646.8,1,False,True,False,1221.8,0.0005810750261369088,Low
M,296.9,308.0,1409,50.7,43,0,0,0,0,0,0,11.100000000000025,71436.3,2,False,False,True,2180.1,0.006866167592011183,Low
L,296.8,308.0,1675,29.7,46,0,0,0,0,0,0,11.199999999999989,49747.5,1,False,True,False,1366.2,0.0005810750261369088,Low
L,296.8,307.9,1698,30.8,48,0,0,0,0,0,0,11.099999999999966,52298.4,1,False,True,False,1478.4,0.0009902376429989181,Low
H,296.7,307.9,1579,33.4,50,0,0,0,0,0,0,11.199999999999989,52738.6,0,True,False,False,1670.0,0.00011124985046156657,Low
L,296.7,307.9,1743,27.9,55,0,0,0,0,0,0,11.199999999999989,48629.7,1,False,True,False,1534.5,0.0010962525069097117,Low
M,296.9,308.0,1497,44.8,57,0,0,0,0,0,0,11.100000000000025,67065.59999999999,2,False,False,True,2553.6,0.0031604376525522417,Low
L,296.9,308.1,1741,28.8,60,0,0,0,0,0,0,11.200000000000044,50140.8,1,False,True,False,1728.0,0.0012067859818330475,Low
L,296.9,308.1,1435,45.3,62,0,0,0,0,0,0,11.200000000000044,65005.49999999999,1,False,True,False,2808.6,0.009880532971523803,Low
M,296.9,308.1,1440,46.3,64,0,0,0,0,0,0,11.200000000000044,66672.0,2,False,False,True,2963.2,0.016218043508865024,Low
M,296.9,308.0,1641,33.3,67,0,0,0,0,0,0,11.100000000000025,54645.3,2,False,False,True,2231.1,0.00011124985046156657,Low
L,296.8,307.9,1420,45.4,70,0,0,0,0,0,0,11.099999999999966,64468.0,1,False,True,False,3178.0,0.00888916690879066,Low
L,296.8,307.9,1611,35.4,72,0,0,0,0,0,0,11.099999999999966,57029.4,1,False,True,False,2548.8,0.00011124985046156657,Low
L,296.8,307.8,1373,42.9,74,0,0,0,0,0,0,11.0,58901.7,1,False,True,False,3174.6,5.779140957502456e-05,Low
M,296.8,307.9,1683,31.8,76,0,0,0,0,0,0,11.099999999999966,53519.4,2,False,False,True,2416.8,0.0005810750261369088,Low
H,296.9,307.9,1547,32.6,79,0,0,0,0,0,0,11.0,50432.2,0,True,False,False,2575.4,0.0005810750261369088,Low
L,296.9,307.8,1605,37.0,84,0,0,0,0,0,0,10.900000000000034,59385.0,1,False,True,False,3108.0,0.00011124985046156657,Low
M,296.9,307.9,2010,18.9,86,0,0,0,0,0,0,11.0,37989.0,2,False,False,True,1625.4,0.0010342650623022943,Low
L,296.8,307.7,1565,40.1,89,0,0,0,0,0,0,10.899999999999975,62756.5,1,False,True,False,3568.9,0.00011124985046156657,Low
M,296.9,307.8,1828,24.6,91,0,0,0,0,0,0,10.900000000000034,44968.8,2,False,False,True,2238.6,0.0023643459059373775,Low
M,297.0,307.8,1579,34.1,94,0,0,0,0,0,0,10.800000000000011,53843.9,2,False,False,True,3205.4,0.00011124985046156657,Low
M,297.0,307.9,1882,24.2,97,0,0,0,0,0,0,10.899999999999975,45544.4,2,False,False,True,2347.4,0.002147797567103248,Low
L,296.9,307.8,1285,52.1,100,0,0,0,0,0,0,10.900000000000034,66948.5,1,False,True,False,5210.0,0.0,Low
L,296.9,307.8,1571,35.0,102,0,0,0,0,0,0,10.900000000000034,54985.0,1,False,True,False,3570.0,0.00011124985046156657,Low
H,296.9,307.8,1549,37.8,104,0,0,0,0,0,0,10.900000000000034,58552.2,0,True,False,False,3931.2,0.0005719675424024336,Low
M,296.9,307.8,1544,37.6,109,0,0,0,0,0,0,10.900000000000034,58054.4,2,False,False,True,4098.400000000001,0.00011124985046156657,Low
M,297.0,307.9,1412,47.4,112,0,0,0,0,0,0,10.899999999999975,66928.8,2,False,False,True,5308.8,0.0009682852209484192,Low
M,297.0,307.9,1422,53.0,115,0,0,0,0,0,0,10.899999999999975,75366.0,2,False,False,True,6095.0,0.005718321901894088,Low
L,297.0,307.7,1867,22.8,118,0,0,0,0,0,0,10.699999999999989,42567.6,1,False,True,False,2690.4,0.0010877235031888364,Low
L,296.9,307.7,1424,43.3,120,0,0,0,0,0,0,10.800000000000011,61659.2,1,False,True,False,5196.0,0.0006339483145489122,Low
L,296.9,307.6,1452,45.7,122,0,0,0,0,0,0,10.700000000000044,66356.40000000001,1,False,True,False,5575.400000000001,0.0003921283159745317,Low
L,296.9,307.7,1550,39.7,124,0,0,0,0,0,0,10.800000000000011,61535.00000000001,1,False,True,False,4922.8,0.00011124985046156657,Low
L,296.8,307.6,1588,37.6,126,0,0,0,0,0,0,10.800000000000011,59708.8,1,False,True,False,4737.6,5.779140957502456e-05,Low
L,296.8,307.6,1338,44.4,128,0,0,0,0,0,0,10.800000000000011,59407.2,1,False,True,False,5683.2,0.005057791409575024,Low
L,296.8,307.6,1513,40.0,130,0,0,0,0,0,0,10.800000000000011,60520.0,1,False,True,False,5200.0,5.779140957502456e-05,Low
M,296.8,307.5,1470,45.9,132,0,0,0,0,0,0,10.699999999999989,67473.0,2,False,False,True,6058.8,0.0003921283159745317,Low
M,296.8,307.5,1516,36.7,135,0,0,0,0,0,0,10.699999999999989,55637.2,2,False,False,True,4954.5,0.0002807733494515453,Low
L,296.8,307.6,1434,48.3,138,0,0,0,0,0,0,10.800000000000011,69262.2,1,False,True,False,6665.4,0.0014974214923213181,Low
L,296.8,307.6,1368,52.0,140,0,0,0,0,0,0,10.800000000000011,71136.0,1,False,True,False,7280.0,0.0,Low
L,296.8,307.6,1304,48.7,142,0,0,0,0,0,0,10.800000000000011,63504.8,1,False,True,False,6915.400000000001,0.0,Low
L,296.8,307.6,1398,46.7,144,0,0,0,0,0,0,10.800000000000011,65286.600000000006,1,False,True,False,6724.8,0.0005804898736623702,Low
L,296.7,307.6,1516,37.4,146,0,0,0,0,0,0,10.900000000000034,56698.4,1,False,True,False,5460.4,0.00017396177072671716,Low
L,296.7,307.6,1474,41.7,148,0,0,0,0,0,0,10.900000000000034,61465.8,1,False,True,False,6171.6,0.00017396177072671716,Low
M,296.7,307.6,1547,34.7,150,0,0,0,0,0,0,10.900000000000034,53680.9,2,False,False,True,5205.0,0.000685306953523805,Low
M,296.6,307.5,1482,39.9,153,0,0,0,0,0,0,10.899999999999975,59131.8,2,False,False,True,6104.7,0.0003969437106032378,Low
L,296.6,307.4,1436,42.8,156,0,0,0,0,0,0,10.799999999999956,61460.8,1,False,True,False,6676.799999999999,0.0005804898736623702,Low
L,296.6,307.3,1474,40.0,158,0,0,0,0,0,0,10.699999999999989,58960.0,1,False,True,False,6320.0,0.00017396177072671716,Low
L,296.5,307.2,1481,38.2,160,0,0,0,0,0,0,10.699999999999989,56574.2,1,False,True,False,6112.0,0.00017396177072671716,Low
L,296.5,307.3,1501,42.1,162,0,0,0,0,0,0,10.800000000000011,63192.1,1,False,True,False,6820.2,0.00017396177072671716,Low
L,296.5,307.3,1566,37.2,164,0,0,0,0,0,0,10.800000000000011,58255.2,1,False,True,False,6100.8,0.00017396177072671716,Low
L,296.5,307.3,1579,34.5,166,0,0,0,0,0,0,10.800000000000011,54475.5,1,False,True,False,5727.0,0.0004623250136472844,Low
L,296.6,307.4,1631,35.0,168,0,0,0,0,0,0,10.799999999999956,57085.0,1,False,True,False,5880.0,0.0004623250136472844,Low
M,296.6,307.4,1544,42.3,170,0,0,0,0,0,0,10.799999999999956,65311.2,2,False,False,True,7190.999999999999,0.006546631838718993,Low
L,296.6,307.4,1521,38.6,173,0,0,0,0,0,0,10.799999999999956,58710.6,1,False,True,False,6677.8,0.00017396177072671716,Low
L,296.6,307.4,1616,28.0,175,0,0,0,0,0,0,10.799999999999956,45248.0,1,False,True,False,4900.0,0.01677172750499214,Low
H,296.6,307.4,1333,50.2,177,0,0,0,0,0,0,10.799999999999956,66916.6,0,True,False,False,8885.4,0.0,Low
M,296.7,307.4,1533,32.5,182,0,0,0,0,0,0,10.699999999999989,49822.5,2,False,False,True,5915.0,0.002910241933300259,Low
L,296.6,307.4,1368,45.1,185,0,0,0,0,0,0,10.799999999999956,61696.8,1,False,True,False,8343.5,0.004293459282840939,Low
L,296.6,307.4,1465,47.8,187,0,0,0,0,0,0,10.799999999999956,70027.0,1,False,True,False,8938.6,0.0015248184974747433,Low
H,296.6,307.4,1406,41.5,189,0,0,0,0,0,0,10.799999999999956,58349.0,0,True,False,False,7843.5,0.0026432934375797586,Low
M,296.5,307.4,1565,43.5,194,0,0,0,0,0,0,10.899999999999975,68077.5,2,False,False,True,8439.0,0.0023958462492250474,Low
L,296.6,307.5,1582,37.9,197,0,0,0,0,0,0,10.899999999999975,59957.8,1,False,True,False,7466.299999999999,0.014083819140001319,Low
L,296.6,307.5,1439,45.5,199,0,0,0,0,0,0,10.899999999999975,65474.5,1,False,True,False,9054.5,0.012504133298297436,Low
M,296.6,307.5,1566,35.0,201,0,0,0,0,0,0,10.899999999999975,54810.0,2,False,False,True,7035.0,0.020860753052558887,Low
L,296.6,307.5,1485,42.7,204,0,0,0,0,0,0,10.899999999999975,63409.50000000001,1,False,True,False,8710.800000000001,0.09465182943693323,Low
L,296.5,307.5,1566,35.1,206,0,0,0,0,0,0,11.0,54966.600000000006,1,False,True,False,7230.6,0.2657188475412215,Medium
L,296.3,307.3,1439,41.5,208,0,0,0,0,0,0,11.0,59718.5,1,False,True,False,8632.0,0.22619363017208854,Low
M,296.4,307.4,1416,50.0,210,0,0,0,0,0,0,11.0,70800.0,2,False,False,True,10500.0,0.03529704956009724,Low
L,296.4,307.4,2833,5.6,213,1,0,0,1,0,0,11.0,15864.8,1,False,True,False,1192.8,0.8658263974060536,Critical
L,296.3,307.4,1465,47.1,215,0,0,0,0,0,0,11.099999999999966,69001.5,1,False,True,False,10126.5,0.042528735067697526,Low
H,296.4,307.4,1586,35.5,0,0,0,0,0,0,0,11.0,56303.0,0,True,False,False,0.0,0.0005185091015158916,Low
L,296.3,307.3,1567,31.4,5,0,0,0,0,0,0,11.0,49203.8,1,False,True,False,157.0,0.0005276165852503668,Low
M,296.2,307.2,1389,48.6,7,0,0,0,0,0,0,11.0,67505.40000000001,2,False,False,True,340.2,0.0166329539854957,Low
M,296.3,307.3,1368,49.5,10,0,0,0,0,0,0,11.0,67716.0,2,False,False,True,495.0,0.0008080343478001953,Low
L,296.3,307.3,1444,49.0,13,0,0,0,0,0,0,11.0,70756.0,1,False,True,False,637.0,0.003970143819626111,Low
M,296.3,307.3,1498,41.6,15,0,0,0,0,0,0,11.0,62316.8,2,False,False,True,624.0,5.779140957502456e-05,Low
L,296.1,307.2,1615,30.8,18,0,0,0,0,0,0,11.099999999999966,49742.0,1,False,True,False,554.4,0.0015608880252554356,Low
L,296.1,307.1,1898,22.7,20,0,0,0,0,0,0,11.0,43084.6,1,False,True,False,454.0,0.0010342650623022943,Low
M,296.1,307.1,1350,53.3,22,0,0,0,0,0,0,11.0,71955.0,2,False,False,True,1172.6,0.0008080343478001953,Low
M,296.2,307.0,1516,37.6,25,0,0,0,0,0,0,10.800000000000011,57001.6,2,False,False,True,940.0,5.779140957502456e-05,Low
H,296.2,307.0,1542,40.6,28,0,0,0,0,0,0,10.800000000000011,62605.2,0,True,False,False,1136.8,0.0005185091015158916,Low
H,296.1,306.9,1541,32.6,33,0,0,0,0,0,0,10.799999999999956,50236.600000000006,0,True,False,False,1075.8,0.0005276165852503668,Low
M,296.1,306.9,1951,23.3,38,0,0,0,0,0,0,10.799999999999956,45458.3,2,False,False,True,885.4,0.0010342650623022943,Low
H,296.1,306.8,1645,31.0,41,0,0,0,0,0,0,10.699999999999989,50995.0,0,True,False,False,1271.0,0.0005276165852503668,Low
L,296.0,306.7,1416,44.2,46,0,0,0,0,0,0,10.699999999999989,62587.2,1,False,True,False,2033.2,0.002524517440672501,Low
M,296.0,306.7,2044,22.3,48,0,0,0,0,0,0,10.699999999999989,45581.2,2,False,False,True,1070.4,0.0010342650623022943,Low
L,295.9,306.6,1414,50.2,51,0,0,0,0,0,0,10.700000000000044,70982.8,1,False,True,False,2560.2000000000003,0.002282992761446071,Low
L,295.9,306.6,1678,26.7,53,0,0,0,0,0,0,10.700000000000044,44802.6,1,False,True,False,1415.1,0.0023108874650508353,Low
H,295.9,306.5,1594,33.2,55,0,0,0,0,0,0,10.600000000000025,52920.8,0,True,False,False,1826.0,5.779140957502456e-05,Low
M,295.8,306.5,1514,37.7,60,0,0,0,0,0,0,10.699999999999989,57077.8,2,False,False,True,2262.0,5.779140957502456e-05,Low
L,295.8,306.5,1358,49.2,63,0,0,0,0,0,0,10.699999999999989,66813.6,1,False,True,False,3099.6000000000004,0.0008080343478001953,Low
L,295.8,306.4,1325,56.2,65,0,0,0,0,0,0,10.599999999999966,74465.0,1,False,True,False,3653.0,0.0,Low
L,295.8,306.4,1339,53.2,67,0,0,0,0,0,0,10.599999999999966,71234.8,1,False,True,False,3564.4,0.0008080343478001953,Low
M,295.8,306.4,1335,51.7,69,0,0,0,0,0,0,10.599999999999966,69019.5,2,False,False,True,3567.3,0.0008080343478001953,Low
L,295.9,306.4,1892,21.7,72,0,0,0,0,0,0,10.5,41056.4,1,False,True,False,1562.4,0.0010342650623022943,Low
L,295.9,306.4,1575,28.5,74,0,0,0,0,0,0,10.5,44887.5,1,False,True,False,2109.0,0.0032038652809347336,Low
M,295.8,306.3,1444,45.5,76,0,0,0,0,0,0,10.5,65702.0,2,False,False,True,3458.0,0.004718037251058811,Low
L,295.7,306.3,1915,22.4,79,0,0,0,0,0,0,10.600000000000025,42896.0,1,False,True,False,1769.6,0.0010342650623022943,Low
M,295.6,306.2,1584,33.6,81,0,0,0,0,0,0,10.599999999999966,53222.4,2,False,False,True,2721.6,5.779140957502456e-05,Low
M,295.7,306.3,1685,34.9,84,0,0,0,0,0,0,10.600000000000025,58806.5,2,False,False,True,2931.6,0.0006749733615502879,Low
L,295.8,306.3,1337,54.6,87,0,0,0,0,0,0,10.5,73000.2,1,False,True,False,4750.2,0.005,Low
M,295.8,306.3,1235,76.2,89,1,0,0,1,0,0,10.5,94107.0,2,False,False,True,6781.8,0.8942579355409657,Critical
L,295.7,306.2,1464,46.2,92,0,0,0,0,0,0,10.5,67636.8,1,False,True,False,4250.400000000001,0.0003921283159745317,Low
M,295.7,306.2,1739,25.9,94,0,0,0,0,0,0,10.5,45040.1,2,False,False,True,2434.6,0.0023108874650508353,Low
L,295.7,306.3,1490,34.3,97,0,0,0,0,0,0,10.600000000000025,51106.99999999999,1,False,True,False,3327.1,5.779140957502456e-05,Low
L,295.8,306.4,1356,48.0,99,0,0,0,0,0,0,10.599999999999966,65088.0,1,False,True,False,4752.0,5.779140957502456e-05,Low
L,295.7,306.2,1397,52.0,101,0,0,0,0,0,0,10.5,72644.0,1,False,True,False,5252.0,0.0003017891029495589,Low
L,295.7,306.2,1458,40.6,103,0,0,0,0,0,0,10.5,59194.8,1,False,True,False,4181.8,5.779140957502456e-05,Low
H,295.7,306.2,2161,16.5,105,0,0,0,0,0,0,10.5,35656.5,0,True,False,False,1732.5,0.005677844510788597,Low
M,295.6,306.1,1651,28.1,110,0,0,0,0,0,0,10.5,46393.100000000006,2,False,False,True,3091.0,0.0032038652809347336,Low
L,295.6,306.1,1389,46.2,113,0,0,0,0,0,0,10.5,64171.8,1,False,True,False,5220.6,0.0005804898736623702,Low
